Name,Link,Price,Display Size,Display Resolution,Processor,OS,SSD,Weight
Dell Inspiron 16,https://www.gadgets360.com/dell-inspiron-16-price-in-india-116861,"₹ 77,990",16.00-inch,1200x1920 pixels,Core,N/A,256GB,N/A
Dell Alienware m18,https://www.gadgets360.com/dell-alienware-m18-price-in-india-115076,"₹ 359,990",18.00-inch,1600x2560 pixels,Core i9,Windows 11,4TB,N/A
MSI Prestige 16 Studio,https://www.gadgets360.com/msi-prestige-16-studio-price-in-india-124748,"₹ 149,990",16.00-inch,2560x1440 pixels,Core i7,Windows 11,1TB,N/A
Acer Nitro 5 (2023),https://www.gadgets360.com/acer-nitro-5-2023-price-in-india-116390,"₹ 79,990",15.60-inch,1920x1080 pixels,Ryzen 5,Windows 11,N/A,N/A
Acer Swift Go 14,https://www.gadgets360.com/acer-swift-go-14-price-in-india-115104,N/A,14.00-inch,1920x1080 pixels,Ryzen 5,N/A,512GB,N/A
HP Spectre x360 14 (2024),https://www.gadgets360.com/hp-spectre-x360-14-2024-price-in-india-123964,"₹ 164,999",14.00-inch,N/A,Intel Core,Windows 11,N/A,N/A
HP Spectre x360 16 (2024),https://www.gadgets360.com/hp-spectre-x360-16-2024-price-in-india-123963,"₹ 179,999",16.00-inch,N/A,Intel Core,Windows 11,N/A,N/A
Samsung Galaxy Book 3 Pro 360,https://www.gadgets360.com/samsung-galaxy-book-3-pro-360-price-in-india-115639,N/A,16.00-inch,1800x2880 pixels,Core i7,Windows 11,1TB,N/A
Asus ROG Strix Scar 16,https://www.gadgets360.com/rog-strix-scar-16-price-in-india-124200,N/A,16.00-inch,2560x1600 pixels,Core i9,Windows 11,4TB,N/A
Lenovo Legion 9i,https://www.gadgets360.com/lenovo-legion-9i-price-in-india-123777,"₹ 449,990",16.00-inch,3200x2000 pixels,Core i9,Windows 11,2TB,N/A
HP Envy x360 15 (2023),https://www.gadgets360.com/hp-envy-x360-15-2023-price-in-india-115444,"₹ 114,999",15.60-inch,N/A,Core i7,Windows 11,1TB,N/A
Apple MacBook Pro 16-inch 2023,https://www.gadgets360.com/apple-macbook-pro-16-inch-2023-price-in-india-115382,N/A,16.20-inch,2234x3456 pixels,Apple M2 Max,macOS,1TB,1.63 kg
Apple MacBook Pro 14-inch 2023,https://www.gadgets360.com/apple-macbook-pro-14-inch-2023-price-in-india-115379,N/A,14.20-inch,1964x3024 pixels,Apple M2 Max,macOS,1TB,1.63 kg
Lenovo Yoga 9i (Gen 8),https://www.gadgets360.com/lenovo-yoga-9i-gen-8-price-in-india-115353,"₹ 174,990",14.00-inch,2400x3840 pixels,Core i7,Windows 11,1TB,N/A
Infinix InBook X2 Plus,https://www.gadgets360.com/infinix-inbook-x2-plus-price-in-india-113742,"₹ 52,990",15.60-inch,1080x1920 pixels,Core i7,N/A,512GB,N/A
Asus Vivobook 15 (2023),https://www.gadgets360.com/asus-vivobook-15-2023-price-in-india-117162,N/A,15.60-inch,1920x1080 pixels,Core i5,Windows 11,512GB,N/A
Xiaomi NoteBook Pro 120,https://www.gadgets360.com/xiaomi-notebook-pro-120-price-in-india-112620,N/A,14.00-inch,1600x2560 pixels,Core i5,Windows 11,N/A,N/A
Xiaomi Notebook Pro 120G,https://www.gadgets360.com/xiaomi-notebook-pro-120g-price-in-india-112619,N/A,14.00-inch,1600x2560 pixels,Core i5,Windows 11,N/A,N/A
HP Dragonfly Folio G3,https://www.gadgets360.com/hp-dragonfly-folio-g3-price-in-india-112536,"₹ 201,000",N/A,N/A,Intel Core,N/A,2TB,N/A
Asus Vivobook Pro 15 OLED (2022),https://www.gadgets360.com/asus-vivobook-pro-15-oled-2022-price-in-india-112453,"₹ 89,990",15.60-inch,1920x1080 pixels,Core i7,N/A,512GB,N/A
